language,type,aliases_count,extensions_count,filenames_count
OCaml,programming,0,7,0
Odin,programming,2,1,0
Omgrofl,programming,0,1,0
OMNeT++ MSG,programming,1,1,0
OMNeT++ NED,programming,1,1,0
ooc,programming,0,1,0
Opa,programming,0,1,0
Opal,programming,0,1,0
Open Policy Agent,programming,0,1,0
OpenAPI Specification v2,data,1,0,0
OpenAPI Specification v3,data,1,0,0
OpenCL,programming,0,2,0
OpenEdge ABL,programming,3,3,0
OpenQASM,programming,0,1,0
OpenRC runscript,programming,1,0,0
OpenSCAD,programming,0,1,0
OpenStep Property List,data,0,2,0
OpenType Feature File,data,1,1,0
Org,prose,0,1,0
OverpassQL,programming,0,1,0
Ox,programming,0,3,0
Oxygene,programming,0,1,0
Oz,programming,0,1,0
P4,programming,0,1,0
Pact,programming,0,1,0
Pan,programming,0,1,0
Papyrus,programming,0,1,0
Parrot,programming,0,1,0
Parrot Assembly,programming,1,1,0
Parrot Internal Representation,programming,1,1,0
Pascal,programming,2,7,0
Pawn,programming,0,3,0
PDDL,programming,0,1,0
PEG.js,programming,0,2,0
Pep8,programming,0,1,0
Pic,markup,1,2,0
Pickle,data,0,1,0
PicoLisp,programming,0,1,0
PigLatin,programming,0,1,0
Pike,programming,0,2,0
Pkl,programming,0,1,0
PlantUML,data,0,3,0
PLpgSQL,programming,0,2,0
PLSQL,programming,0,16,0
Pod,prose,0,1,0
Pod 6,prose,0,2,0
PogoScript,programming,0,1,0
Polar,programming,0,1,0
Pony,programming,0,1,0
Portugol,programming,0,1,0
PostCSS,markup,0,2,0
PostScript,markup,1,4,0
POV-Ray SDL,programming,2,2,0
PowerBuilder,programming,0,4,0
PowerShell,programming,2,3,0
Praat,programming,0,1,0
Prisma,data,0,1,0
Processing,programming,0,1,0
Proguard,data,0,1,0
Prolog,programming,0,5,0
Promela,programming,0,1,0
Propeller Spin,programming,0,1,0
Protocol Buffer,data,3,1,0
Protocol Buffer Text Format,data,2,4,0
Public Key,data,0,2,0
Pug,markup,0,2,0
Pure Data,data,0,1,0
PureBasic,programming,0,2,0
PureScript,programming,0,1,0
Pyret,programming,0,1,0
Python console,programming,1,0,0
Python traceback,data,0,1,0
q,programming,0,1,0
Q#,programming,1,1,0
QMake,programming,0,2,0
QML,programming,0,2,0
QuakeC,programming,0,1,0
QuickBASIC,programming,5,2,0
Racket,programming,0,4,0
Ragel,programming,2,1,0
Raku,programming,2,13,0
RAML,markup,0,1,0
Rascal,programming,0,1,0
RAScript,programming,0,1,0
Raw token data,data,1,1,0
RBS,data,0,1,0
RDoc,prose,0,1,0
REALbasic,programming,0,6,0
Reason,programming,0,2,0
ReasonLIGO,programming,0,1,0
Rebol,programming,0,5,0
Red,programming,1,2,0
Redcode,programming,0,1,0
Regular Expression,data,2,2,0
Ren'Py,programming,1,1,0
RenderScript,programming,0,2,0
ReScript,programming,0,2,0
reStructuredText,prose,1,4,0
REXX,programming,1,3,0
Rez,programming,0,1,0
Rich Text Format,markup,0,1,0
Ring,programming,0,1,0
Riot,markup,0,1,0
RMarkdown,prose,0,2,0
RobotFramework,programming,0,2,0
Roc,programming,0,1,0
Rocq Prover,programming,2,2,0
Roff Manpage,markup,0,20,0
RON,data,0,1,0
ROS Interface,data,1,3,0
Rouge,programming,0,1,0
RouterOS Script,programming,0,1,0
RPC,programming,3,1,0
RPGLE,programming,2,2,0
RPM Spec,data,1,1,0
RUNOFF,markup,0,2,0
Rust,programming,1,2,0
Sage,programming,0,2,0
Sail,programming,0,1,0
SaltStack,programming,2,1,0
SAS,programming,0,1,0
Sass,markup,0,1,0
Scala,programming,0,4,0
Scaml,markup,0,1,0
Scenic,programming,0,1,0
Scheme,programming,0,6,0
Scilab,programming,0,3,0
SCSS,markup,0,1,0
sed,programming,0,1,0
Self,programming,0,1,0
ShaderLab,programming,0,1,0
ShellSession,programming,2,1,0
Shen,programming,0,1,0
Sieve,programming,0,1,0
Simple File Verification,data,1,1,0
Slang,programming,0,1,0
Slash,programming,0,1,0
Slice,programming,0,1,0
Slim,markup,0,1,0
Slint,markup,0,1,0
Smali,programming,0,1,0
Smalltalk,programming,1,2,0
Smarty,programming,0,1,0
Smithy,programming,0,1,0
SmPL,programming,1,1,0
SMT,programming,0,3,0
Solidity,programming,0,1,0
SourcePawn,programming,1,2,0
SPARQL,data,0,2,0
SpiceDB Schema,data,0,1,0
Spline Font Database,data,0,1,0
SQF,programming,0,2,0
SQL,data,0,8,0
SQLPL,programming,0,2,0
Squirrel,programming,0,1,0
SRecode Template,markup,0,1,0
Stan,programming,0,1,0
Standard ML,programming,1,4,0
STAR,data,0,1,0
Stata,programming,0,7,0
STL,data,2,1,0
STON,data,0,1,0
StringTemplate,markup,0,1,0
Stylus,markup,0,1,0
SubRip Text,data,0,1,0
SugarSS,markup,0,1,0
SuperCollider,programming,0,2,0
