language,type,extensions_count,aliases_count,filenames_count
Leo,programming,1,0,0
LFE,programming,1,0,0
LigoLANG,programming,1,0,0
Linear Programming,programming,1,0,0
Linux Kernel Module,data,1,0,0
Liquid,markup,1,0,0
Liquidsoap,programming,1,0,0
Literate Agda,programming,1,0,0
LiveCode Script,programming,1,0,0
LLVM,programming,1,0,0
LOLCODE,programming,1,0,0
LoomScript,programming,1,0,0
LTspice Symbol,data,1,0,0
Luau,programming,1,0,0
Mask,markup,1,0,0
Mathematical Programming System,programming,1,0,0
mcfunction,programming,1,0,0
mdsvex,markup,1,0,0
MDX,markup,1,0,0
Metal,programming,1,0,0
MeTTa,programming,1,0,0
Microsoft Developer Studio Project,data,1,0,0
Microsoft Visual Studio Solution,data,1,0,0
MiniD,programming,1,0,0
MiniZinc,programming,1,0,0
MiniZinc Data,data,1,0,0
Mint,programming,1,0,0
mIRC Script,programming,1,0,0
MLIR,programming,1,0,0
Modelica,programming,1,0,0
Modula-2,programming,1,0,0
Mojo,programming,1,0,0
Monkey C,programming,1,0,0
Moocode,programming,1,0,0
MoonBit,programming,1,0,0
MoonScript,programming,1,0,0
Motoko,programming,1,0,0
Move,programming,1,0,0
MTML,markup,1,0,0
mupad,programming,1,0,0
Mustache,markup,1,0,0
Myghty,programming,1,0,0
nanorc,data,1,0,2
Nasal,programming,1,0,0
NCL,programming,1,0,0
Nemerle,programming,1,0,0
nesC,programming,1,0,0
NetLogo,programming,1,0,0
Nextflow,programming,1,0,1
Nickel,programming,1,0,0
Ninja,data,1,0,0
Nit,programming,1,0,0
NL,data,1,0,0
NMODL,programming,1,0,0
NPM Config,data,0,1,1
NWScript,programming,1,0,0
OASv2-json,data,1,0,0
OASv3-json,data,1,0,0
Oberon,programming,1,0,0
ObjDump,data,1,0,0
Object Data Instance Notation,data,1,0,0
ObjectScript,programming,1,0,0
Omgrofl,programming,1,0,0
ooc,programming,1,0,0
Opa,programming,1,0,0
Opal,programming,1,0,0
Open Policy Agent,programming,1,0,0
OpenAPI Specification v2,data,0,1,0
OpenAPI Specification v3,data,0,1,0
OpenQASM,programming,1,0,0
OpenRC runscript,programming,0,1,0
OpenSCAD,programming,1,0,0
Org,prose,1,0,0
OverpassQL,programming,1,0,0
Oxygene,programming,1,0,0
Oz,programming,1,0,0
P4,programming,1,0,0
Pact,programming,1,0,0
Pan,programming,1,0,0
Papyrus,programming,1,0,0
Parrot,programming,1,0,0
PDDL,programming,1,0,0
Pep8,programming,1,0,0
Pickle,data,1,0,0
PicoLisp,programming,1,0,0
PigLatin,programming,1,0,0
Pkl,programming,1,0,0
Pod,prose,1,0,0
PogoScript,programming,1,0,0
Polar,programming,1,0,0
Pony,programming,1,0,0
Portugol,programming,1,0,0
Praat,programming,1,0,0
Prisma,data,1,0,0
Processing,programming,1,0,0
Proguard,data,1,0,0
Promela,programming,1,0,0
Propeller Spin,programming,1,0,0
Puppet,programming,1,0,1
Pure Data,data,1,0,0
PureScript,programming,1,0,0
Pyret,programming,1,0,0
Python console,programming,0,1,0
Python traceback,data,1,0,0
q,programming,1,0,0
Qt Script,programming,1,0,2
QuakeC,programming,1,0,0
RAML,markup,1,0,0
Rascal,programming,1,0,0
RAScript,programming,1,0,0
RBS,data,1,0,0
RDoc,prose,1,0,0
ReasonLIGO,programming,1,0,0
Redcode,programming,1,0,0
Redirect Rules,data,0,1,1
Rez,programming,1,0,0
Rich Text Format,markup,1,0,0
Ring,programming,1,0,0
Riot,markup,1,0,0
Roc,programming,1,0,0
RON,data,1,0,0
Rouge,programming,1,0,0
RouterOS Script,programming,1,0,0
Sail,programming,1,0,0
SAS,programming,1,0,0
Sass,markup,1,0,0
Scaml,markup,1,0,0
Scenic,programming,1,0,0
SCSS,markup,1,0,0
sed,programming,1,0,0
Self,programming,1,0,0
ShaderLab,programming,1,0,0
ShellCheck Config,data,0,1,1
Shen,programming,1,0,0
Sieve,programming,1,0,0
Slang,programming,1,0,0
Slash,programming,1,0,0
Slice,programming,1,0,0
Slim,markup,1,0,0
Slint,markup,1,0,0
Smali,programming,1,0,0
Smarty,programming,1,0,0
Smithy,programming,1,0,0
Solidity,programming,1,0,0
Spline Font Database,data,1,0,0
Squirrel,programming,1,0,0
SRecode Template,markup,1,0,0
Stan,programming,1,0,0
STAR,data,1,0,0
STON,data,1,0,0
StringTemplate,markup,1,0,0
Stylus,markup,1,0,0
SubRip Text,data,1,0,0
SugarSS,markup,1,0,0
Survex data,data,1,0,0
Svelte,markup,1,0,0
SVG,data,1,0,0
Sway,programming,1,0,0
Sweave,prose,1,0,0
Swift,programming,1,0,0
Tact,programming,1,0,0
Talon,programming,1,0,0
Tea,markup,1,0,0
Teal,programming,1,0,0
templ,markup,1,0,0
Terra,programming,1,0,0
Terraform Template,markup,1,0,0
TextGrid,data,1,0,0
Textile,prose,1,0,0
TextMate Properties,data,0,1,1
Thrift,programming,1,0,0
TL-Verilog,programming,1,0,0
TLA,programming,1,0,0
Toit,programming,1,0,0
Tor Config,data,0,1,1
