language,type,aliases,extensions,filenames
Java Server Pages,programming,jsp,.jsp; .tag,
Java Template Engine,programming,jte,.jte,
JavaScript,programming,js; node,.js; ._js; .bones; .cjs; .es; .es6; .frag; .gs; .jake; .javascript; .jsb; .jscad; .jsfl; .jslib; .jsm; .jspre; .jss; .jsx; .mjs; .njs; .pac; .sjs; .ssjs; .xsjs; .xsjslib,Jakefile
JavaScript+ERB,programming,,.js.erb,
JCL,programming,,.jcl,
Jest Snapshot,data,,.snap,
JetBrains MPS,programming,mps,.mps; .mpl; .msd,
JFlex,programming,,.flex; .jflex,
Jinja,markup,django; html+django; html+jinja; htmldjango,.jinja; .j2; .jinja2,
Jison,programming,,.jison,
Jison Lex,programming,,.jisonlex,
Jolie,programming,,.ol; .iol,
jq,programming,,.jq,
JSON,data,geojson; jsonl; sarif; topojson,.json; .4DForm; .4DProject; .avsc; .geojson; .gltf; .har; .ice; .JSON-tmLanguage; .json.example; .jsonl; .mcmeta; .sarif; .tact; .tfstate; .tfstate.backup; .topojson; .webapp; .webmanifest; .yy; .yyp,.all-contributorsrc; .arcconfig; .auto-changelog; .c8rc; .htmlhintrc; .imgbotconfig; .nycrc; .tern-config; .tern-project; .watchmanconfig; MODULE.bazel.lock; Package.resolved; Pipfile.lock; bun.lock; composer.lock; deno.lock; flake.lock; mcmod.info
JSON with Comments,data,jsonc,.jsonc; .code-snippets; .code-workspace; .sublime-build; .sublime-color-scheme; .sublime-commands; .sublime-completions; .sublime-keymap; .sublime-macro; .sublime-menu; .sublime-mousemap; .sublime-project; .sublime-settings; .sublime-theme; .sublime-workspace; .sublime_metrics; .sublime_session; .tsconfig.json,.babelrc; .devcontainer.json; .eslintrc.json; .jscsrc; .jshintrc; .jslintrc; .oxlintrc.json; .swcrc; api-extractor.json; devcontainer.json; jsconfig.json; language-configuration.json; tsconfig.json; tslint.json
JSON5,data,,.json5,
JSONiq,programming,,.jq,
JSONLD,data,,.jsonld,
Jsonnet,programming,,.jsonnet; .libsonnet,
Julia,programming,,.jl,
Julia REPL,programming,,,
Jupyter Notebook,markup,IPython Notebook,.ipynb,Notebook
Just,programming,Justfile,.just,.JUSTFILE; .Justfile; .justfile; JUSTFILE; Justfile; justfile
Kaitai Struct,programming,ksy,.ksy,
KakouneScript,programming,kak; kakscript,.kak,kakrc
KCL,programming,,.k,kcl.mod; kcl.mod.lock
KDL,data,,.kdl,
KerboScript,programming,,.ks,
KFramework,programming,,.k,
KiCad Layout,data,pcbnew,.kicad_pcb; .kicad_mod; .kicad_wks,fp-lib-table
KiCad Legacy Layout,data,,.brd,
KiCad Schematic,data,eeschema schematic,.kicad_sch; .kicad_sym; .sch,
Kickstart,data,,.ks,
Kit,markup,,.kit,
Koka,programming,,.kk,
KoLmafia ASH,programming,,.ash,
Kotlin,programming,,.kt; .ktm; .kts,
KRL,programming,,.krl,
Kusto,data,,.csl; .kql,
kvlang,markup,,.kv,
LabVIEW,programming,,.lvproj; .lvclass; .lvlib,
Lambdapi,programming,,.lp,
Langium,programming,,.langium,
Lark,data,,.lark,
Lasso,programming,lassoscript,.lasso; .las; .lasso8; .lasso9,
Latte,markup,,.latte,
Lean,programming,,.lean; .hlean,
Lean 4,programming,lean4,.lean,
Leo,programming,,.leo,
Less,markup,less-css,.less,
Lex,programming,flex,.l; .lex,Lexer.x; lexer.x
LFE,programming,,.lfe,
LigoLANG,programming,,.ligo,
LilyPond,programming,,.ly; .ily,
Limbo,programming,,.b; .m,
Linear Programming,programming,,.lp,
Linker Script,programming,,.ld; .lds; .x,ld.script
Linux Kernel Module,data,,.mod,
Liquid,markup,,.liquid,
Liquidsoap,programming,,.liq,
Literate Agda,programming,,.lagda,
Literate CoffeeScript,programming,litcoffee,.litcoffee; .coffee.md,
Literate Haskell,programming,lhaskell; lhs,.lhs,
LiveCode Script,programming,,.livecodescript,
LiveScript,programming,live-script; ls,.ls; ._ls,Slakefile
LLVM,programming,,.ll,
Logos,programming,,.xm; .x; .xi,
Logtalk,programming,,.lgt; .logtalk,
LOLCODE,programming,,.lol,
LookML,programming,,.lkml; .lookml,
LoomScript,programming,,.ls,
LSL,programming,,.lsl; .lslp,
LTspice Symbol,data,,.asy,
Lua,programming,,.lua; .fcgi; .nse; .p8; .pd_lua; .rbxs; .rockspec; .wlua,.luacheckrc
Luau,programming,,.luau,
M,programming,mumps,.mumps; .m,
